Round,Date,Time,Home,Score,Away,Attendance,Location,Referee
Apertura — First stage,2025-04-27,14:00,Santa Fe,0–0,Boyacá Chicó,"10,446",Estadio Nemesio Camacho El Campín,Bismarks Santiago
Apertura — First stage,2025-04-27,16:10,Fortaleza FC,0–0,Independiente,"2,000",Estadio Metropolitano de Techo,Luis G. Matorel
Apertura — First stage,2025-04-27,18:20,CD América,2–0,AD Cali,"26,629",Estadio Olímpico Pascual Guerrero,Carlos Betancourt
Apertura — First stage,2025-04-27,20:30,CA Bucaramanga,0–2,Millonarios,"24,000",Estadio Américo Montanini,Carlos Márquez
Apertura — First stage,2025-04-29,19:30,Nacional,3–0,Pasto,"26,737",Estadio Atanasio Girardot,Wilmar Montaño
Apertura — First stage,2025-04-30,18:00,Rionegro,0–1,CD América,"1,500",Estadio Alberto Grisales,Álvaro Meléndez
Apertura — First stage,2025-04-30,20:10,Llaneros,0–1,Santa Fe,100,Estadio Bello Horizonte,Jairo Mayorga
Apertura — First stage,2025-05-01,14:00,Envigado,1–2,Once Caldas,"8,000",Estadio Polideportivo Sur,Lizmair
Apertura — First stage,2025-05-02,19:00,La Equidad,0–2,Alianza,500,Estadio Metropolitano de Techo,Diego Ulloa
Apertura — First stage,2025-05-03,16:00,Llaneros,2–1,CA Bucaramanga,"6,000",Estadio Bello Horizonte,Wilmar Roldán
Apertura — First stage,2025-05-03,18:10,AD Cali,1–1,Tolima,"15,000",Estadio Deportivo Cali,Alejandro Moncada
Apertura — First stage,2025-05-03,20:20,Junior,0–0,CD América,"15,065",Estadio Metropolitano Roberto Meléndez,Luis G. Matorel
Apertura — First stage,2025-05-04,14:00,Pasto,1–0,Fortaleza FC,"6,000",Estadio Departamental Libertad,Luis Delgado
Apertura — First stage,2025-05-04,16:10,Independiente,1–1,Nacional,"42,292",Estadio Atanasio Girardot,Andrés Rojas
Apertura — First stage,2025-05-04,18:20,Unión Magdalena,0–3,Once Caldas,,Estadio Sierra Nevada,Carlos Ortega
Apertura — First stage,2025-05-04,20:30,Rionegro,3–3,Pereira,"4,000",Estadio Alberto Grisales,Diego Ruiz
Apertura — First stage,2025-05-05,20:00,Boyacá Chicó,1–0,Envigado,500,Estadio de la Independencia,Esnaider Pontón
Apertura — First stage,2025-05-08,19:30,Millonarios,0–0,Pereira,"24,836",Estadio Nemesio Camacho El Campín,Álvaro Meléndez
Apertura — First stage,2025-05-09,18:20,Tolima,3–1,Unión Magdalena,"7,000",Estadio Manuel Murillo Toro,Luis Delgado
Apertura — First stage,2025-05-09,20:30,CA Bucaramanga,2–0,Independiente,"6,000",Estadio Américo Montanini,Ferney Trujillo
Apertura — First stage,2025-05-10,15:00,Envigado,0–2,Rionegro,500,Estadio Polideportivo Sur,Carlos Márquez
Apertura — First stage,2025-05-10,17:10,Fortaleza FC,4–0,La Equidad,500,Estadio Metropolitano de Techo,Lizmair
Apertura — First stage,2025-05-10,19:20,Santa Fe,2–1,Junior,"15,519",Estadio Nemesio Camacho El Campín,Diego Ruiz
Apertura — First stage,2025-05-11,16:00,Alianza,2–0,AD Cali,"4,000",Estadio Armando Maestre Pavajeau,Luis Gracia
Apertura — First stage,2025-05-11,18:10,Nacional,2–1,Llaneros,"20,058",Estadio Atanasio Girardot,Stiven Camargo
Apertura — First stage,2025-05-11,20:20,Once Caldas,2–2,Millonarios,"15,963",Estadio Palogrande,Jhon Ospina
Apertura — First stage,2025-05-13,19:30,Pereira,1–0,Pasto,"12,000",Estadio Hernán Ramírez Villegas,Carlos Ortega
Apertura — First stage,2025-05-15,19:30,Independiente,0–1,Tolima,"22,150",Estadio Atanasio Girardot,Luis G. Matorel
Apertura — First stage,2025-05-16,18:10,Junior,2–1,Fortaleza FC,"8,000",Estadio Metropolitano Roberto Meléndez,Jairo Mayorga
Apertura — First stage,2025-05-16,20:15,Millonarios,1–0,Envigado,"24,998",Estadio Nemesio Camacho El Campín,Luis Delgado
Apertura — First stage,2025-05-17,15:45,La Equidad,1–4,CA Bucaramanga,500,Estadio Metropolitano de Techo,Álvaro Meléndez
Apertura — First stage,2025-05-17,18:00,AD Cali,0–2,Santa Fe,"6,500",Estadio Deportivo Cali,Carlos Ortega
